S,S^2,A,Y,B
0.9007275244444445,0.8113100732918174,0.010745995555555554,0.0,0.5931909
0.9007275244444445,0.8113100732918174,0.012281137777777777,0.0,0.5933968
0.9007275244444445,0.8113100732918174,0.013816279999999998,0.0,0.5936026
0.9493637622222222,0.901291553020732,0.0,0.0,0.61792684
0.9493637622222222,0.901291553020732,0.0015351422222222222,0.0,0.61812586
0.9493637622222222,0.901291553020732,0.0030702844444444443,0.0,0.61832476
0.9493637622222222,0.901291553020732,0.0046054266666666665,0.0,0.61852366
0.9493637622222222,0.901291553020732,0.006140568888888889,0.0,0.61872256
0.9493637622222222,0.901291553020732,0.007675711111111111,0.0,0.6189214
0.9493637622222222,0.901291553020732,0.009210853333333333,0.0,0.6191201
0.9493637622222222,0.901291553020732,0.010745995555555554,0.0,0.6193189
